Type,Question,Option1,Option2,Option3,Option4,Answer
Maths,What is the product of 0.4 and 0.5?,0.02,0.2,2,20,0.2
Maths,"Find the average of 12, 18, 24, 30",16,18,21,22,21
Maths,What is 75% of 120?,80,85,90,95,90
Maths,Solve: 3(x + 4) = 27,3,4,5,6,5
Maths,What is the perimeter of a square with side 7cm?,24 cm,26 cm,28 cm,30 cm,28 cm
Maths,What is 1.8 + 2.7?,4.3,4.4,4.5,4.6,4.5
Maths,How many minutes in 1.75 hours?,100,105,110,115,105
Maths,What is 13 × 13?,159,169,179,189,169
Maths,What is 256 ÷ 16?,14,15,16,17,16
Maths,"If y - 15 = 30, what is y?",40,45,50,55,45
Maths,What is 2/3 of 90?,50,55,60,65,60
Maths,What is 40% of 250?,90,95,100,105,100
Non-Verbal-Reasoning,"Pattern: triangle, circle, square, triangle, circle, __",square,circle,triangle,hexagon,square
Non-Verbal-Reasoning,"Rotation sequence: up, left, down, right, up, __",left,right,down,up,left
Non-Verbal-Reasoning,Which shape has horizontal symmetry?,letter M,letter R,letter F,letter G,letter M
Non-Verbal-Reasoning,"Odd one out: red triangle, blue triangle, green triangle, large triangle",red triangle,blue triangle,green triangle,large triangle,large triangle
Non-Verbal-Reasoning,"Pattern: dot, line, dot, line, dot, __",line,dot,square,circle,line
Non-Verbal-Reasoning,Which net makes a triangular prism?,Net A,Net B,Net C,Net D,Net B
Non-Verbal-Reasoning,"Count corners: triangle (3), square (4), pentagon (5), hexagon (6), heptagon (__)",5,6,7,8,7
Non-Verbal-Reasoning,Reflection: which is mirror of 'E'?,backward E,upside-down E,rotated E,same E,backward E
Non-Verbal-Reasoning,"Pattern: thick line, thin line, thick line, thin line, __",thick line,thin line,medium line,dotted line,thick line
Non-Verbal-Reasoning,Which shape is rotated 90° clockwise?,Shape A,Shape B,Shape C,Shape D,Shape C
Non-Verbal-Reasoning,Odd one out: all have 4 corners except,rectangle,rhombus,trapezium,circle,circle
Non-Verbal-Reasoning,"Sequence: star, circle, star, circle, star, __",circle,star,square,triangle,circle
Non-Verbal-Reasoning,Which two shapes are congruent?,A and B,B and C,C and D,A and D,A and B
Non-Verbal-Reasoning,"Pattern: shaded, striped, shaded, striped, __",shaded,striped,checkered,dotted,shaded
Non-Verbal-Reasoning,"Rotation: starts facing north, turns 90° right, then 90° right again. Where now?",east,south,west,north,south
Non-Verbal-Reasoning,Which shape cannot be made from the net?,cube,pyramid,cylinder,cone,pyramid
Non-Verbal-Reasoning,"Pattern: small, large, medium, small, large, __",medium,small,large,extra large,medium
Non-Verbal-Reasoning,Odd one out: all are 3D shapes except,cube,sphere,circle,cylinder,circle
Non-Verbal-Reasoning,Which is the reflection over horizontal line?,Image A,Image B,Image C,Image D,Image B
Non-Verbal-Reasoning,"Sequence: 1 line, 2 lines, 3 lines, 4 lines, __",5 lines,6 lines,7 lines,8 lines,5 lines
Non-Verbal-Reasoning,"Pattern: upward arrow, downward arrow, left arrow, right arrow, upward arrow, __",downward arrow,left arrow,right arrow,upward arrow,downward arrow
Non-Verbal-Reasoning,Which shape has no lines of symmetry?,scalene triangle,isosceles triangle,equilateral triangle,square,scalene triangle
Non-Verbal-Reasoning,Count cubes in 3D shape: 3×3×2,16,17,18,19,18
Non-Verbal-Reasoning,"Pattern: circle inside square, square inside triangle, triangle inside circle, circle inside square, __",square inside triangle,triangle inside circle,square inside circle,circle inside triangle,square inside triangle
Verbal Reasoning,"Find the odd one out: river, mountain, ocean, desert, book",river,mountain,ocean,book,book
Verbal Reasoning,Complete the analogy: teacher is to school as doctor is to ____,hospital,medicine,patient,stethoscope,hospital
Verbal Reasoning,"Letter sequence: C, F, I, L, __",O,N,P,Q,O
Verbal Reasoning,"Insert the missing letters: ST( )LE, MI( )LE",A;D,A;N,A;K,A;L,A;D
Verbal Reasoning,Rearrange to make a word: NOMDE,DOMEN,MONDE,DEMON,NOMED,DEMON
Verbal Reasoning,"Which two words are closest: happy, sad, joyful, miserable, angry",happy and sad,joyful and miserable,joyful and happy,sad and angry,joyful and happy
Verbal Reasoning,"Code: If APPLE -> BQQMF (each letter +1), then BANANA -> ____",CBOBOB,CBONBN,COBONB,CBOBOC,CBOBOB
Verbal Reasoning,What is the 8th letter of the alphabet?,G,H,F,E,H
Verbal Reasoning,"How many 4-letter words from P, E, N, S?",12,16,20,24,24
Verbal Reasoning,Logic: All mammals have fur. Whales are mammals. Do whales have fur?,Yes,No,Sometimes,Cannot tell,Yes
Verbal Reasoning,Hidden word: find color in 'great ORANGE sunset',orange,green,blue,red,orange
Verbal Reasoning,Complete the compound: sun + ____ = a time of day,rise,set,light,flower,set
Verbal Reasoning,"Which doesn't belong: guitar, piano, violin, flute, drum",guitar,piano,violin,drum,drum
Verbal Reasoning,Analogy: key is to lock as password is to ____,computer,security,account,login,account
Verbal Reasoning,Choose the best antonym for 'victory',success,defeat,triumph,win,defeat
Verbal Reasoning,"Find the missing number: 10, 20, 30, 40, __",50,55,60,65,50
Verbal Reasoning,Which rearranged word: EARTH -> HEART; OCEAN -> ____,CANOE,OCEAN,AONCE,NEACO,CANOE
Verbal Reasoning,"If some cats are black and all black animals are nocturnal, then some cats are nocturnal. True?",TRUE,FALSE,Sometimes,Cannot tell,TRUE
Verbal Reasoning,Complete the simile: as busy as a ____,bee,sloth,turtle,rock,bee
Verbal Reasoning,"Which two are opposites: love, hate, like, dislike, enjoy",love and hate,like and dislike,love and like,hate and dislike,love and hate
Verbal Reasoning,"Find the odd pair: (cow:milk), (bee:honey), (sheep:wool), (tree:wood)",cow:milk,bee:honey,sheep:wool,tree:wood,tree:wood
Verbal Reasoning,"Complete the pattern: XY, ZA, BC, __",DE,EF,FG,GH,DE
Verbal Reasoning,Word ladder: change one letter in 'BEAR' to make a fruit,PEAR,BEER,BEAT,BEAD,PEAR
Verbal Reasoning,Complete: She ran ____ to catch the bus.,quickly,quick,quicken,quickness,quickly
Verbal Reasoning,Analogy: hammer is to carpenter as scalpel is to ____,doctor,surgeon,nurse,patient,surgeon
Vocabulary,Choose the best synonym for 'rapid'.,slow,fast,steady,gradual,fast
Vocabulary,Choose the best synonym for 'miserable'.,happy,joyful,sad,content,sad
Vocabulary,Choose the best synonym for 'ancient'.,modern,old,new,current,old
Vocabulary,Choose the best antonym for 'beautiful'.,pretty,ugly,lovely,attractive,ugly
Vocabulary,Choose the best synonym for 'wisdom'.,knowledge,ignorance,stupidity,foolishness,knowledge
Vocabulary,Choose the best antonym for 'arrive'.,come,leave,enter,approach,leave
Vocabulary,Choose the best antonym for 'peaceful'.,calm,noisy,quiet,serene,noisy
Vocabulary,Choose the best synonym for 'enormous'.,tiny,small,huge,minute,huge
Vocabulary,Choose the correct word: Please ____ the door when you leave.,close,clothes,closing,closed,close
Vocabulary,Choose the correct word: That book is ____.,their,there,they're,thier,theirs
Vocabulary,Pick the best word: The mountain climber felt ____ when he reached the summit.,defeated,accomplished,disappointed,frustrated,accomplished
Vocabulary,Which word is closest to 'famous'?,unknown,renowned,obscure,hidden,renowned
Vocabulary,Which word is closest to 'sparkling'?,dull,shining,dark,matte,shining
Vocabulary,"Choose the correct plural: one fungus, two ____.",fungus,funguses,fungi,fungae,fungi
Vocabulary,Which word is an antonym of 'confident'?,sure,uncertain,positive,assured,uncertain
Vocabulary,Choose the word that completes: The instructions were ____ and easy to follow.,confusing,clear,vague,complicated,clear
Vocabulary,Which word is spelled correctly?,neccessary,necessary,necesary,nessessary,necessary
Vocabulary,Choose the best synonym for 'wealthy'.,rich,poor,destitute,broke,rich
Vocabulary,Choose the correct homophone: I need a ____ of paper.,peace,piece,peice,pace,piece
Vocabulary,Pick the best word: The audience was ____ by the performance.,bored,unimpressed,captivated,distracted,captivated
Vocabulary,Choose the best antonym for 'simple'.,easy,complex,basic,straightforward,complex
Vocabulary,Which word fits: A ____ of fish swam by.,school,flock,herd,pack,school
Vocabulary,Choose the correct prefix for the opposite of 'agree'.,re-,dis-,un-,mis-,dis-
Vocabulary,Which word means 'full of energy'?,lethargic,tired,energetic,sleepy,energetic
Vocabulary,Choose the best synonym for 'clever'.,smart,stupid,dull,slow,smart
