Type,Question,Option1,Option2,Option3,Option4,Answer
Vocabulary,Choose the best antonym for peaceful.,calm,noisy,quiet,serene,noisy
Vocabulary,Choose the best synonym for enormous.,tiny,small,huge,minute,huge
Vocabulary,Choose the correct word: Please ____ the door when you leave.,close,clothes,closing,closed,close
Vocabulary,Choose the correct word: That book is ____.,their,there,theyre,thier,theirs
Vocabulary,Pick the best word: The mountain climber felt ____ when he reached the summit.,defeated,accomplished,disappointed,frustrated,accomplished
Vocabulary,Which word is closest to famous?,unknown,renowned,obscure,hidden,renowned
Vocabulary,Which word is closest to sparkling?,dull,shining,dark,matte,shining
Vocabulary,Choose the correct plural: one fungus two ____.,fungus,funguses,fungi,fungae,fungi
Vocabulary,Which word is an antonym of confident?,sure,uncertain,positive,assured,uncertain
Vocabulary,Choose the word that completes: The instructions were ____ and easy to follow.,confusing,clear,vague,complicated,clear
Vocabulary,Which word is spelled correctly?,neccessary,necessary,necesary,nessessary,necessary
Vocabulary,Choose the best synonym for wealthy.,rich,poor,destitute,broke,rich
Vocabulary,Choose the correct homophone: I need a ____ of paper.,peace,piece,peice,pace,piece
Vocabulary,Pick the best word: The audience was ____ by the performance.,bored,unimpressed,captivated,distracted,captivated
Vocabulary,Choose the best antonym for simple.,easy,complex,basic,straightforward,complex
Vocabulary,Which word fits: A ____ of fish swam by.,school,flock,herd,pack,school
Vocabulary,Choose the correct prefix for the opposite of agree.,re-,dis-,un-,mis-,dis-
Vocabulary,Which word means full of energy?,lethargic,tired,energetic,sleepy,energetic
Vocabulary,Choose the best synonym for clever.,smart,stupid,dull,slow,smart
Non-Verbal-Reasoning,Sequence: circle square triangle circle square __,triangle,circle,square,hexagon,triangle
Non-Verbal-Reasoning,Rotation: A shape points up then right then down. What direction next?,left,up,right,down,left
Non-Verbal-Reasoning,Mirror: If the letter L is reflected in a vertical mirror which looks correct,┐,└,┌,┘,┐
Non-Verbal-Reasoning,Odd one out: filled circle empty circle filled square filled triangle,filled circle,empty circle,filled square,filled triangle,empty circle
Non-Verbal-Reasoning,Size pattern: small medium large small medium __,large,small,medium,extra large,large
Non-Verbal-Reasoning,Shading alternates: shaded unshaded shaded __,shaded,unshaded,half shaded,striped,unshaded
Non-Verbal-Reasoning,Count sides: triangle square pentagon __,hexagon,circle,octagon,heptagon,hexagon
Non-Verbal-Reasoning,Which pair are reflections ▲ and ▲ mirrored ■ and ■ mirrored ● and ● mirrored ◆ and ■ mirrored,first pair,second pair,third pair,fourth pair,first pair
Non-Verbal-Reasoning,Sequence: circle=1 square=2 triangle=3. What is triangle circle square,3 1 2,1 2 3,2 3 1,3 2 1,3 1 2
Non-Verbal-Reasoning,Rotation 90° clockwise: step 1 points up step 3 points,left,right,down,up,down
Non-Verbal-Reasoning,Pattern: 2 small dots then 1 large dot repeat. After 5 items,small dot,large dot,two small dots,medium dot,large dot
Non-Verbal-Reasoning,Grid pattern: top-left filled top-right empty bottom-left empty bottom-right,filled,empty,half filled,striped,filled
Non-Verbal-Reasoning,Odd one out: rotating square reflecting square shifting square scaling square,rotating square,reflecting square,shifting square,scaling square,scaling square
Non-Verbal-Reasoning,If a shape turns 180° which looks same as original,circle,triangle,arrow shape,letter L,circle
Non-Verbal-Reasoning,Sequence of corners: 1 2 3 4 __,5,6,1,4,5
Non-Verbal-Reasoning,Pattern: ▲ ■ ● ▲ ■ ● ▲ ■ __,●,▲,■,◆,●
Non-Verbal-Reasoning,Which shape is the mirror of ←,→,↑,↓,←,→
Non-Verbal-Reasoning,Sequence: ○ □ △ ○ □ △ ○ __,□,△,○,●,□
Non-Verbal-Reasoning,Odd one out: ↑ ↑ → → ↓ ↓ ←,↑,→,↓,←,←
Non-Verbal-Reasoning,Pattern: filled striped filled striped __,filled,striped,half filled,empty,striped
Non-Verbal-Reasoning,What comes next: small circle medium circle large circle small circle medium __,large,small,medium,extra large,large
Non-Verbal-Reasoning,Sequence: 3 sides 4 sides 5 sides 6 sides __,7 sides,8 sides,4 sides,5 sides,7 sides
Non-Verbal-Reasoning,Which completes: ● ■ ▲ ● ■ ▲ ● ■ ▲ ● __,■,▲,●,◆,■
Non-Verbal-Reasoning,Rotation: shape faces left then up then right then,down,left,up,right,down
Non-Verbal-Reasoning,Odd one out: ● ● ● ■ ■ ■ ▲ ▲ ▲ ↓ ↓ ↓,● ● ●,■ ■ ■,▲ ▲ ▲,↓ ↓ ↓,↓ ↓ ↓
Non-Verbal-Reasoning,Pattern: thick line thin line thick line thin line __,thick line,thin line,dotted line,dashed line,thick line
Non-Verbal-Reasoning,Sequence: ○ △ □ ○ △ □ ○ △ __,□,△,○,■,□
Non-Verbal-Reasoning,Mirror: Which is mirror of ▷,◁,▽,△,▷,◁
Non-Verbal-Reasoning,Whats missing: ▲ ▲ ■ ■ ● ● ▲ ▲ ■ ■ ● ● ▲ ▲ ■ ■ __ __,● ●,▲ ▲,■ ■,◆ ◆,● ●
Non-Verbal-Reasoning,Rotation step: facing up → facing right → facing down → facing,left,up,right,down,left
Non-Verbal-Reasoning,Odd one out: shaded circle shaded square shaded triangle empty circle,shaded circle,shaded square,shaded triangle,empty circle,empty circle
Non-Verbal-Reasoning,Pattern: 1 dot 2 dots 3 dots 1 dot 2 dots __,3 dots,4 dots,1 dot,2 dots,3 dots
Non-Verbal-Reasoning,Sequence: heart star diamond heart star __,diamond,heart,star,circle,diamond
Non-Verbal-Reasoning,Which direction completes: ↑ → ↓ ← ↑ → ↓ __,←,↑,→,↓,←
Non-Verbal-Reasoning,Grid: top-left ▲ top-right ■ bottom-left ● bottom-right,▲,■,●,◆,●
Non-Verbal-Reasoning,Odd one out: clockwise turn mirror flip size change position shift,clockwise turn,mirror flip,size change,position shift,size change
Non-Verbal-Reasoning,Pattern: small ▲ medium ▲ large ▲ small ▲ medium ▲ __,large ▲,small ▲,medium ▲,extra large ▲,large ▲
Non-Verbal-Reasoning,Sequence: 4 8 12 16 __,20,24,18,22,20
Non-Verbal-Reasoning,What comes next: ○ □ △ ◇ ○ □ △ ◇ ○ □ __,△,◇,○,□,△
Non-Verbal-Reasoning,Rotation: starts at 12 oclock moves to 3 oclock then 6 oclock then,9 oclock,12 oclock,3 oclock,6 oclock,9 oclock
Non-Verbal-Reasoning,Odd one out: horizontal line vertical line diagonal line curved line,horizontal line,vertical line,diagonal line,curved line,curved line
Non-Verbal-Reasoning,Pattern: black white black white __,black,white,gray,striped,black
Non-Verbal-Reasoning,Sequence: first: circle second: square third: triangle fourth,rectangle,pentagon,hexagon,diamond,diamond
Non-Verbal-Reasoning,Which completes: ← ↑ → ↓ ← ↑ → __,↓,←,↑,→,↓
Non-Verbal-Reasoning,Mirror: Mirror of ▢ is,▢,▨,▩,▪,▢
Non-Verbal-Reasoning,Odd one out: regular pattern random pattern repeating pattern alternating pattern,regular pattern,random pattern,repeating pattern,alternating pattern,random pattern
Non-Verbal-Reasoning,Pattern: thick border thin border thick border thin border __,thick border,thin border,double border,dotted border,thick border
Non-Verbal-Reasoning,Sequence: ● ■ ▲ ● ■ ▲ ● ■ ▲ ● ■ __,▲,●,■,◆,▲
Non-Verbal-Reasoning,Rotation: shape rotates 45° each step. After 8 steps it faces,same as start,opposite,90° different,180° different,same as start
Non-Verbal-Reasoning,Whats next: 1 shaded 2 unshaded 3 shaded 4 unshaded __,5 shaded,5 unshaded,6 shaded,6 unshaded,5 shaded
